,Product,Category,Ingredients
757,"Method Gel Hand Wash Refill, Free + Clear Rating",Liquid Hand Soap,MADE WITH: WATER (AQUA)  SODIUM LAURYL SULFATE*  DECYL GLUCOSIDE*  LAURYL GLUCOSIDE*  SODIUM CHLORIDE*  CITRIC ACID*  COCAMIDOPROPYL BETAINE*  COCAMIDOPROPYL HYDROXYSULTAINE*  GLYCERIN*  SODIUM CITRATE*  ALOE BARBADENSIS EXTRACT*  TOCOPHERYL ACETATE (VITAMIN E)*  POTASSIUM SORBATE  SODIUM BENZOATE.
758,"Walnut Ave Pure Castile Foaming Soap, Lavender (2019 formulation) Rating",Liquid Hand Soap,WATER  POTASSIUM COCOATE  GLYCERIN  POTASSIUM OLIVATE  CITRIC ACID  POTASSIUM CITRATE  POLYSORBATE 80  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL  XANTHAN GUM  CARAMEL  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  CANNABIS SATIVA (HEMP) SEED OIL  BUTYROSPERMUM PARKII (SHEA BUTTER).
759,"Griffin Remedy Foaming Hand Soap, Lemon Verbana Rating",Liquid Hand Soap,Coconut oil  olive oil  jojoba oil and hemp oil  (all saponified with retained glycerin)  glycerin  lemon verbena essential oil blend  guar gum  MSM  aloe vera  rosemary extract
760,Olio E Osso No. 8 Persimmon (2020 formulation) Rating,Lip Balm,Butyrospermum Parkii (Shea) Nut Oil  Olea Europaea (Olive) Fruit Oil  Cera Alba (Natural Beeswax)  Citrus Paradisi (Grapefruit) Peel Oil  Annatto (CI 75120)  Carmine (CI 75470)
761,"Mad Gab's Moose Smooch Moose Turizing Lip Balm, Unscented, Unscented",Lip Balm,OLIVE OIL*  BEESWAX*  VITAMIN E
762,"Chapstick Total Hydration Moisturizing Lip Exfoliator, Sea Minerals",Lip Balm,COCOS NUCIFERA (COCONUT) OIL  SUCROSE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX  EUPHORBIA CERIFERA (CANDELILLA) WAX  BUTYROSPERMUM PARKII (SHEA) BUTTER  CAPRYLIC/CAPRIC TRIGLYCERIDE  THEOBROMA CACAO (COCOA BUTTER)  HYDROGENATED COCO-GLYCERIDES  COPERNICIA CERIFERA (CARNAUBA) WAX  LIMNANTHES ALBA (MEADOWFOAM) SEED OIL  GARCINIA INDICA SEED BUTTER  NATURAL FLAVOR  CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL  SEA SALT EXTRACT  TOCOPHEROL  ALOE BARBADENSIS LEAF EXTRACT  CHLAMYDOMONAS REINHARDTII EXTRACT  CRAMBE MARITIMA LEAF EXTRACT  SEA MINERAL COMPLEX: SEA MINERALS  SEA KALE  SEA ALGAE.
763,SEVANI Vegan Lip Balm Rating,Lip Balm,Organic Sunflower Seed Oil  Candelilla Wax  Organic Cocoa Butter  Organic Coconut Oil  Vitamin E  Organic Rosemary Extract  Organic Calendula Extract.
764,"L.a. Colors Sugar Lip Scrub, Cbss666 (2020 formulation) Rating",Exfoliant/Scrub,SUCROSE (SUGAR)  COCOS NUCIFERA (COCONUT OIL)  SYNTHETIC WAX  TRIDECYL TRIMELLITATE  ETHYLHEXYL PALMITATE  MINERAL OIL (PARAFFINUM LIQUIDUM)  MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA)  BEESWAX (CERA ALBA)  TOCOPHERYL ACETATE  PHENOXYETHANOL  ETHYLHEXYLGLYCERIN.
765,Opas Soap Beet & Malva Lip Balm Rating,Lip Balm,Apricot Kernel Oil  Coconut Oil  Olive Oil  Shea Butter  Organic Palm Kernel Oil  Candelilla Wax  Vitamin E  Beets  Malva (Mallow)  Stevia  Natural Cranberry Flavor
766,Singing Dog Vanilla Organic Vanilla Lip Balm (2018 formulation) Rating,Lip Balm,ORGANIC SUNFLOWER OIL  ORGANIC BEESWAX  ORGANIC SAFFLOWER OIL  ORGANIC VANILLA FLAVOR  VITAMIN E (NON-GMO)  ORGANIC ROSEMARY  ORGANIC CALENDULA
767,"Alaffia Everyday Shea Hand Soap, Lavender Spice Rating",Liquid Hand Soap,MORINGA OLEIFERA (MORINGA) LEAF AQUEOUS EXTRACT  SAPONIFIED BUTYROSPERMUM PARKII (SHEA) BUTTER AND COCOS NUCIFERA (COCONUT) OIL  COCO-BETAINE  LAVANDULA HYBRIDA (LAVENDER) OIL  ARGANIA SPINOSA (ARGAN) OIL  SYZYGIUM AROMATICUM (CLOVE) OIL  CINNAMOMUM ZEYLANICUM (CINNAMON) LEAF OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL.
768,"Humble Aluminum-free Deodorant, Lavender & Holy Basil Rating",Antiperspirant/Deodorant,CAPRYLIC/CAPRIC TRIGLYCERIDES (FRACTIONATED COCONUT OIL)  SODIUM BICARBONATE (BAKING SODA)  ORGANIC CERA ALBA (BEESWAX)  ZEA MAYS STARCH (CORN STARCH)  Lavadula Angustifolia (Lavender) Flower Essential Oil  Tulsi Basil - Ocimum Sanctum (Holy Basil) Essential Oil
769,"Smartypits Aluminuminum Free Deodor, Charcoal+tea Tree Rating",Antiperspirant/Deodorant,ARROWROOT POWDER  MAGNESIUM HYDROXIDE  HYDROGENATED AVOCADO OIL*  CAPRYLIC/CAPRIC TRIGLYCERIDE*  COCONUT OIL  POLYGLYCEROL-3 BEESWAX  ACTIVATED CHARCOAL  TEA TREE ESSENTIAL OIL  TOCOPHEROL  INULIN++
770,"Eos Super Soft Shea Lip Balm, Toasted Marshmallow (2020 formulation)",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX/CERA ALBA (CIRE D'ABEILLE)  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  FLAVOR (AROMA)  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA  OLEA EUROPAEA (OLIVE) FRUIT OIL  TOCOPHEROL  STEVIA REBAUDIANA LEAF/STEM EXTRACT  GLYCINE SOJA (SOYBEAN) OIL  ANISE ALCOHOL*.
771,Schmidt's Lavender + Sage Natural Deodorant (2019 formulation) Rating,Antiperspirant/Deodorant,: MARANTA ARUNDINACEA (ARROWROOT) POWDER  SODIUM BICARBONATE (BAKING SODA)  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  CAPRYLIC/CAPRIC TRIGLYCERIDE (FRACTIONATED COCONUT OIL)  EUPHORBIA CERIFERA (CANDELILLA) WAX  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  MAGNESIUM HYDROXIDE  LAVANDULA HYBRIDA (LAVANDIN) OIL  SALVIA SCLAREA (CLARY SAGE) OIL  TOCOPHEROL (VITAMIN E  SUNFLOWER DERIVED).
772,"Noniko Natural Deodorant Push Up, Sundaze (Bergamot + Grapefruit) Rating",Antiperspirant/Deodorant,Coconut (Cocos Nucifera) Oil*  Baking Soda (Sodium Bicarbonate)  Arrowroot (Maranta Arundinacea) Powder*  Beeswax (Cera Alba)  Bergamot (Citrus Bergamia) Essential Oil  Grapefruit (Citrus Paradisi) Essential Oil  Noni Fruit (Morinda Citrifolia) Seed Oil  Vitamin E (Tocopherol). *ORGANIC
773,"Eco Lips Lip Food Nutrient Dense Organic Lip Balm, Vanilla Lavender With",Lip Balm,*SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  *CERA ALBA (BEESWAX)  *+THEOBROMA CACAO (COCOA) SEED BUTTER  *COCOS NUCIFERA (COCONUT) OIL  *VANILLA FLAVOR  *CUCURBITA PEPO (PUMPKIN) SEED OIL  *LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL  MIXED TOCOPHEROLS (VITAMIN E)  *ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  *CALENDULA OFFICINALIS (CALENDULA) FLOWER EXTRACT  *EUPATORIUM REBAUDIANUM BERTONI (STEVIA) LEAF EXTRACT.
774,"Haus Urban Lip Glide, Legendary Lychee (2020 formulation) Rating",Lip Balm,Avocado Oil  Coconut Oil  Organic Lychee Flavor  Jojoba Oil
775,John Masters Organics Rose Lip Calm Rating,Lip Balm,: Helianthus annuus (sunflower) seed oil*  Beeswax*  Olea europaea (olive) fruit oil*  Simmondsia Chinensis (Jojoba) Seed oil*  Linum usitatissimum (linseed) seed oil*  Borago officinalis seed oil*  Rosa moschata seed oil (Rosehip)*  Rosa damascena flower oil (Rose)  Eugenol   Geraniol   Farnesol   Linalool   Citronellol
776,Skyn Iceland Berry Lip Fix Rating,Lip Balm,Butyrospermum Parkii (Shea Butter)  Olea Europaea (Olive) Fruit Oil  Zea Mays (Corn) Starch  C18-38 Alkyl Hydroxystearoyl Stearate  Polyhydroxystearic Acid  Persea Gratissima (Avocado) Oil  Theobroma Cacao (Cocoa) Seed Butter  Simmondsia Chinensis (Jojoba) seed oil  Prunus Amygdalus Dulcis (Sweet Almond) Oil  Copernicia Cerifera (Carnauba) Wax  Macadamia Ternifolia Seed Oil  Mangifera indica (Mango) Seed Butter  Chondrus Crispus (Carrageenan) Extract  Flavor  Helianthus Annuus (Sunflower) Seed Oil  Oenothera Biennis (Evening Primrose) Oil  Argania Spinosa (Argan) Kernel oil  Hydrolyzed Corn Starch  Lauryl Laurate  Persea Gratissima (Avocado) Oil  Methyl Diisopropyl Propionamide  Ethyl Menthane Carboxamide  Menthyl Lactate  Calophyllum Inophyllum (Tamanu) Seed oil  Helianthus Annuus (Sunflower) Seed Oil  Rubus Chamaemorus (ARCTIC Cloudberry) Seed Oil  Oxycoccus Palustris (Arctic Cranberry) Seed Oil  Hydrated Silica  Hydrolyzed Corn Starch Octenylsuccinate 
777,"Moonrise Creek Tinted Lip Balm, BRICK RED Rating",Lip Balm,Ricinus Communis (Castor) Oil  Simmondsia Chinensis (Jojoba) Oil  Prunus Dulcis (Almond) Oil  Euphoriba Cerifera (Candelilla) Wax  Mica  Cera Alba (Beeswax)  Triticum Vulgare (Wheat Germ) Oil  Titanium Dioxide
778,Butter Me Up Organics Kissable Lips/Chapstick Lip Balm Rating,Lip Balm,Mango Butter  Local Beeswax  Avocado Oil*  Vanilla Absolute*  Lavender Oil*
779,"Chagrin Valley Soap & Salve Company Coconut Stick Deodorant, Lemongrass",Antiperspirant/Deodorant,Organic Virgin Coconut Oil  Organic Virgin Shea Butter  Organic Cornstarch  Organic Beeswax  Organic Jojoba Oil  Baking Soda  Organic Lemongrass Essential Oil  Organic Tea Tree Essential Oil  Organic Rosemary Oil Extract (ROE)
780,"Happy Skin Care Woohoo All Natural Deodorant Paste, Mellow (2020",Antiperspirant/Deodorant,Butyrospermum Parkii (Shea) Butter*  Manihot Esculenta (Tapioca) Root Starch  Magnesium Hydroxide  Cocos Nucifera (Coconut) Oil*  Kaolin Clay  Euphorbia Cerifera Cera (Candelilla) Wax  Triethyl Citrate  Zinc Oxide (non-nano)  Capryloyl Glycerin/Sebacic Acid Copolymer Diheptyl Succinate  Olea Europaea (Olive) Leaf Extract  Tocopherol (Vitamin E)  Activated Charcoal Powder
781,"Eos Smooth Lip Balm, Strawberry Cheer Rating",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX/CIRE D'ABEILLE  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  FLAVOR (AROMA)  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE
782,"Whole Foods Market Organic Lip Balm, Sweet Peppermint (2019 formulation)",Lip Balm,COCONUT OIL*  BEESWAX*  EXTRA VIRGIN OLIVE OIL*  SHEA BUTTER*  ESSENTIAL OIL OF PEPPERMINT*  ARGAN OIL*  COCOA BUTTER*  JOJOBA OIL*  CUPUACU BUTTER*  HEMP SEED OIL*  MIXED TOCOPHEROLS (VITAMIN E)  STEVIA*
783,"Rowe Casa Orgainics, Massage Oil, Sacred Serenity Rating",Body Oil,ORGANIC GRAPESEED OIL  100% PURE THERAPEUTIC GRADE ESSENTIAL OILS: CEDARWOOD  LEMON  ORANGE  CLOVE.
784,Yes to Watermelon Hydrating Lip Balm Rating,Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX  EUPHORBIA CERIFERA (CANDELILLA) WAX  BIS-DIGLYCERYL POLYACYLADIPATE-2  COPERNICIA CERIFERA (CARNAUBA) WAX  FLAVOR (AROMA)  TETRAHEXYLDECYL ASCORBATE*  CITRULLUS LANATUS (WATERMELON) FRUIT EXTRACT  PRUNUS ARMENIACA (APRICOT) KERNEL OIL  SOLANUM LYCOPERSICUM (TOMATO) FRUIT EXTRACT  ALOE BARBADENSIS LEAF EXTRACT  GLYCINE SOJA (SOYBEAN) OIL.
785,"Little Seed Farm Deodorant Cream, Jasmine Green Tea (2019 formulation)",Antiperspirant/Deodorant,Manihot esculenta (Arrowroot) Powder*  Magnesium Hydroxide  Cocos Nucifera (Coconut) Oil*  Simmondsia Chinensis (Jojoba) Oil  Cera Alba (Beeswax)  Vegetable Glycerin*  Jasminum Officinale (Jasmine) Oil  Camellia Sinensis (Green Tea) Leaf Extract  Activated Charcoal Powder.
786,V76 by Vaughn Lip Balm Rating,Lip Balm,Jojoba Butter Cream  Coconut Oil  Sunflower Seed Oil
787,"La Roche Posay Alcohol Antiseptic Hand Sanitizer, Fragrance Free Rating",Hand Sanitizer,Active Ingredients: ALCOHOL 71.0%; Inactive Ingredients: WATER  GLYCERIN  AMMONIUM POLYACRYLOYLDIMETHYL TAURATE
788,"Fat and the Moon Tinted Balm, Red Ruby Rating",Lip Balm,Alkanet Root Powder (Alkanna tinctoria)  Turmeric Powder (Curcuma longa)*  Sunflower Oil (Helianthus annuus)*  Beeswax (Cera alba)  Clove* Essential Oil (Syzygium aromaticum)*  Sweet Orange (Citrus sinensis)* Essential Oil
789,"N.Y.C. Applelicious Glossy Lip Balm, Chocolate Apple Rating",Lip Balm,Shea Butter  Jojoba Oil  Vitamin E and Avocado Oil.
790,"American Provenance Natural Deodorant, Shotguns & Shenanigans Rating",Antiperspirant/Deodorant,COCOS NUCIFERA (COCONUT) OIL  SODIUM BICARBONATE (ALUMINUM-FREE BAKING SODA)  MARANTA ARUNDINACEA (ARROWROOT) ROOT POWDER  BEESWAX  BUTYROSPERMUM PARKII (SHEA) BUTTER  CALLITRIS INTRATROPICA (CYPRESS) OIL  EUCALYPTUS GLOBULUS (EUCALYPTUS) LEAF OIL  MENTHA PIPERITA (PEPPERMINT) OIL
791,Evolution of Smooth Organic Lasting Hydration Lip Care (2018 formulation),Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL*  BEESWAX*  COCOS NUCIFERA (COCONUT) OIL*  BUTYROSPERMUM PARKII (SHEA) BUTTER*  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL*  COPERNICIA CERIFERA*  OLEA EUROPAEA (OLIVE) FRUIT OIL*.
792,"Balm Standard, Pure & Unscented Rating",Lip Balm,Organic Beeswax*  Organic Coconut Oil*  Organic Sweet Almond Oil*  Organic Sunflower Seed Oil*  Organic Cocoa Butter*  Organic Jojoba Oil*  Shea Butter  Mango Butter  Organic Olive Oil*  Natural Vitamin E Oil.
793,"Little Seed Farm Deodorant Cream, Activated Charcoal (2019 formulation)",Antiperspirant/Deodorant,Manihot esculenta (Arrowroot) Powder*  Magnesium Hydroxide  Cocos Nucifera (Coconut) Oil*  Simmondsia Chinensis (Jojoba) Oil  Cera Alba (Beeswax)  Vegetable Glycerine*  Rosemarinus Officinalis (Rosemary) Leaf Oil*  Pelargonium Graveolens (Geranium) Flower Oil*  Mentha Virdis (Spearmint) Leaf Oil*  Activated charcoal Powder.
794,Blistex Purely Essential Daily Lip Care Rating,Lip Balm,PETROLATUM  THEOBROMA CACAO (COCOA) SEED BUTTER  HYDROXYSTEARIC ACID  BUTYROSPERMUM PARKII (SHEA) BUTTER  PHENOXYETHANOL
795,"Green Goo Deodorant, Rose & Geranium (2019 formulation) Rating",Antiperspirant/Deodorant,ORGANIC SHEA BUTTER  ORGANIC COCONUT OIL  ORGANIC COCOA BUTTER  ORGANIC CALENDULA FLOWERS  ALUMINUM-FREE BAKING SODA  ORGANIC ARROWROOT  ORGANIC SUNFLOWER OIL  ORGANIC BEESWAX  ROSE AND GERANIUM ESSENTIAL OILS.
796,Olio E Osso No. 3 Crimson (2020 formulation) Rating,Lip Balm,Butyrospermum Parkii (Shea) Nut Oil  Olea Europaea (Olive) Fruit Oil  Cera Alba (Natural Beeswax)  Citrus Paradisi (Grapefruit) Peel Oil  Carmine (CI 75470)
797,Noyah Cbd Lip Balm (2020 formulation) Rating,Lip Balm,*COCOS NUCIFERA (COCONUT) OIL  *CERA ALBA (BEESWAX)  *OLEA EUROPAEA (OLIVE) FRUIT OIL  *THEOBROMA CACAO (COCOA) SEED BUTTER  CAPRYLIC/CAPRIC TRIGLYCERIDE  CANNABIDIOL  *VANILLA PLANIFOLIA (VANILLA) FRUIT EXTRACT  TOCOPHEROL (VITAMIN E)  *STEVIA REBAUDIANA EXTRACT
798,"Nubian Heritage 24 Hour All-Natural Deodorant, Coconut & Papaya with",Antiperspirant/Deodorant,With Pure Non GMO Glycols ffrom Corn. Propanediol  Glycerin (Vegetable)  Water  Sodium Stearate  Silica  Zea Mays (Corn) Starch  Zinc Ricinoleate  Fragrance (Proprietary Essential Oil Blend)  Butyrospermum Parkii (Shea Butter)*  Citrus Grandis (Grapefruit) Seed Extract  Saccharomyces Ferment  Polyglyceryl-3 Caprate  Sucrose Cocoate  Aloe Barbadensis Leaf Juice  Allantoin  Vanilla Planifolia Oil  Coconut (Cocos Nucifera) Oil  Papain (Papaya) Extract *Certfified Organic Ingredient
799,"Eco Lips Mongo Kiss Lip Balm, Black Cherry Rating",Lip Balm,*Helianthus Annuus (Sunflower) Seed Oil  *Cera Flava (Beeswax)  * Theobroma Cacao (Cocoa) Seed Butter  *Black Cherry Flavor  *Schinziophyton Rautanenii (Mongongo) Kernel Oil  Mixed Tocopherols (Vitamin E)  *Rosmarinus Officinalis (Rosemary) Leaf Extract  *Calendula Officinalis (Calendula) Extract  *Eupatorium Rebaudianum Bertoni (Stevia) Leaf Extract  *Certified Organic Ingredients Fair Trade Certified by Fair Trade USA
800,Fat and the Moon Lip Salve Rating,Lip Balm,Sunflower Oil (Helianthus annuus)*  Mango Butter (Mangifera Indica)*  Beeswax (Cera alba)  Rosemary (Rosmarinus officinalis) Essential Oil*
801,"Schmidt's Sensitive Skin Formula Natural Deodorant, Lavender Tips (2019",Antiperspirant/Deodorant,MAGNESIUM HYDROXIDE  COCOS NUCIFERA (COCONUT) OIL  MARANTA ARUNDINACEA (ARROWROOT) POWDER  CAPRYLIC/CAPRIC TRIGLYCERIDE (FRACTIONATED COCONUT OIL)  BUTYROSPERMUM PARKII (SHEA BUTTER)  EUPHORBIA CERIFERA (CANDELILLA) WAX  CHINENSIS (JOJOBA) SEED OIL  LAVENDULA (LAVENDER) ESSENTIAL OIL  TOCOPHEROL (VITAMIN E  SUNFLOWER DERIVED).
802,Adiva Naturals Therapeutic Shea Butter (2020 formulation) Rating,Muscle/Joint Soreness,(All Organic) shea butter  blackpepper oil  clove  ginger  camphor  hilychirum  lemongrass  wintergreen and safflower oil
803,"Freedom Natural Deodorant, Lavender Citrus (old formulation) Rating",Antiperspirant/Deodorant,Tapioca Starch  Sodium Bicarbonate  Cocos Nucifera (Coconut) Oil  Cera Alba  Cocos Nucifera (Coconut) Oil  Kaolin  Butyrospermum Parkii Unsaponifiables  Lavandula Angustifolia Oil  Citrus Limon Peel  Coriandrum Sativum Fruit  Cupressus Sempervirens
804,"Habitat Botanicals Deodorant, Lavender Rating",Antiperspirant/Deodorant,Coconut Oil  Shea Butter  Arrowroot Powder  Candelilla Wax  Kaolin Clay  Baking Soda  Grape  Seed Oil  Tocopherol  Lavender Essential Oil
805,"Eco-Dent Daily Care Tooth Powder, Mint (2020 formulation) Rating",Toothpaste,SODIUM BICARBONATE (BAKING SODA)  TARTARIC ACID  SODIUM METHYL COCOYL TAURATE  DICALCIUM PHOSPHATE DIHYDRATE  CALCIUM CARBONATE  MAGNESIUM CARBONATE  SEA SALT  HYDRATED SILICA  MENTHA PIPERITA (PEPPERMINT) OIL  MENTHOL  ANETHOLE  CYAMOPSIS TETRAGONOLOBA (GUAR) GUM  COMMIPHORA MYRRHA (MYRRH) RESIN EXTRACT.
806,"Strawberry Hedgehog natural deodorant roll on, Peach Pits Rating",Antiperspirant/Deodorant,essential oils  argan oil  and jojoba oil
807,"Honestly PHresh Naturals Prebiotic Deodorant, Soothing Shea (2020",Antiperspirant/Deodorant,BUTYROSPERMUM PARKII (SHEA BUTTER)  MARANTA ARUNDINACEA (ARROWROOT) POWDER*  FAIR TRADE CERTIFIED COCOS NUCIFERA (COCONUT) OIL*  MAGNESIUM HYDROXIDE  VEGETABLE GLYCERIN*(NON PALM)  ORIZA SATIVA (RICE BRAN) WAX  ALPHA-GLUCAN OLIGOSACCHARIDE  SALVIA OFFICINALIS (SAGE) OIL  TRIETHYL CITRATE  SODIUM CAPROYL/LACTYLATE  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL  CANANGA ODORATA FLOWER (YLANG YLANG) OIL  VITAMIN E (SUNFLOWER DERIVED).* CERTIFIED ORGANIC
808,"Lanolips 101 Ointment Multi Balm, Strawberry Rating",Lip Balm,LANOLIN*  FLAVOUR (AROMA)*  CARTHAMUS TINCTORIOUS (SAFFLOWER) SEED OIL*  FRAGARIA VESCA (STRAWBERRY) FRUIT EXTRACT*  TOCOPHEROL (VIT E)*
809,"Hard Candy Plumping Serum Lip Balm, Bountiful Bare 2180 Rating",Lip Balm,CAPRYLIC/CAPRIC TRIGLYCERIDE  BIS-DIGLYCERYL POLYACYLADIPATE-2  MANGIFERA INDICA (MANGO) SEED BUTTER  DIISOSTEARYL MALATE  PERSEA GRATISSIMA (AVOCADO) OIL  SYNTHETIC WAX  THEOBROMA GRANDIFLORUM SEED BUTTER  BUTYROSPERMUM PARKII (SHEA) BUTTER  MICROCRYSTALLINE WAX  KAOLIN  PARAFFIN  SILICA  SUCROSE TETRASTEARATE TRIACETATE  GLYCINE SOJA (SOYBEAN) SEED EXTRACT  LACTOBACILLUS/CAPSICUM FRUTESCENS FRUIT FERMENT EXTRACT  METHYL NICOTINATE 
810,TBH Kids Deodorant (2019 formulation) Rating,Antiperspirant/Deodorant,Maranta Arundinacea (Arrowroot) Root Powder  Sodium Bicarbonate  Cocos Nucifera (Coconut) Oil  Euphorbia Cerifera (Candelilla) Wax  Astrocaryum Murumuru Seed Butter  Caprylic/Capric Triglyceride  Simmondsia Chinensis (Jojoba) Seed Oil  Magnesium Hydroxide  Charcoal Powder  Tocopherol  Petroselinum Crispum (Parsley) Leaf Extract  Helianthus Annuus (Sunflower) Seed Oil  Rosa Canina (Rosehip) Fruit Extract  Glycine Soja (Soybean) Oil  Rosmarinus Officinalis (Rosemary) Leaf Extract  Sunflower Seed Oil Glycerides  Hamamelis Virginiana (Witch Hazel) Extract  Alcohol  Propanediol  Water
811,"Zero Waste Cartel, Zero Waste Deodorant - Eucalyptus & Mint Rating",Antiperspirant/Deodorant,Organic coconut oil  Organic shea butter  Beeswax  Organic arrowroot powder  Baking soda  Eucalyptus & Mint Essential Oils
812,"Iyoba AVOCADO LIP BUTTER, Tangerine Rating",Lip Balm,beeswax  shea butter  avocado oil  meadow foam oil  mango butter  aloe butter  Vitamin E  essential oils
813,Kuhdoo Lip Balm Rating,Lip Balm,ALMOND OIL  AVOCADO OIL  BEES WAX  SHEA BUTTER  STEVIA
814,"Rowe Casa Orgainics, Lip Balm, Fresh Mint Rating",Lip Balm,ORGANIC BEESWAX  ORGANIC RAW & UNREFINED COCONUT OIL  ORGANIC COCOA BUTTER  ORGANIC VITAMIN E OIL  ROSEHIP SEED OIL  ORGANIC JOJOBA OIL  100% PURE THERAPEUTIC GRADE ESSENTIAL OILS: PEPPERMINT.
815,"Meow Meow Tweet Baking Soda Free Deodorant Stick, Rose Geranium Rating",Antiperspirant/Deodorant,*+cocos nucifera (coconut) oil  *maranta esculenta (arrowroot) powder  magnesium hydroxide  *+theobroma cacao (cocoa) seed butter  *+butyrospermum parkii (shea) fruit butter  helianthus annuus (sunflower) seed wax  *cymbopogon martini (palmarosa) oil  pelargonium graveolens (rose geranium) oil
816,"Griffin Remedy Foaming Hand Soap, Unscented Rating",Liquid Hand Soap,Coconut oil  olive oil  jojoba oil and hemp oil  (all saponified with retained glycerin)  glycerin  guar gum  MSM  aloe vera  rosemary extract
817,Flying Squirrel Co. Unscented Skin & Lip Balm (old formulation) Rating,Lip Balm,Olea Europaea (Olive) Fruit Oil  Cocos Nucifera (Coconut) Oil)  Cera Alba (Beeswax)  Lavandula Angustifolia (Lavender) Flower Extract  Calendula Officinalis (Marigold) Flower Extract
818,"Chagrin Valley Soap & Salve Company Lip Balm, Vanilla Bean Rating",Lip Balm,Organic Cocoa Butter  Organic Jojoba Oil  Organic Babassu Oil  Organic Virgin Coconut Oil  Organic Castor Bean Oil  Organic Palm Oil (Sustainable)  Organic Vanilla Beans  Organic Beeswax
819,"Simply Silver Breath Spray, Mint Rating",Mouthwash,Colloidal silver (15 ppm)  peppermint oil (mentha piperita) and Menthol (Mentha arvensis)
820,"Out of Africa Pure Shea Butter Lip Balm, Strawberry (2019 formulation)",Lip Balm,BUTYROSPERMUM PARKII (PURE UNREFINED SHEA BUTTER)  FRAGARIA (STRAWBERRY) FLAVOR  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  VITIS VINIFERA (GRAPE) SEED OIL  EUPHORBIA CERIFERA (CANDELILLA) WAX  THEOBROM CACAO (COCOA) SEED BUTTER  D-ALPHA TOCOPHEROL (VITAMIN E)  ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT  CALENDULA OFFICINALIS FLOWER EXTRACT
821,Burt's Bees Zen Peppermint Coconut Activated Charcoal Powder for,Tooth Whitening,CHARCOAL POWDER  BENTONITE  SODIUM BICARBONATE  FLAVOR STEVIA REBAUDIANA EXTRACT
822,"Iyoba AVOCADO LIP BUTTER, Lavender Rating",Lip Balm,beeswax  shea butter  avocado oil  meadow foam oil  mango butter  aloe butter  Vitamin E  essential oils
823,"O My! Goat Milk Lip Balm With Vitamin E and Shea Butter, Iced Mocha",Lip Balm,CERA ALBA (BEESWAX)  BUTYROSPERMUM PARKII (SHEA BUTTER) FRUIT  THEOBROMA CACAO (COCOA) SEED BUTTER  PERSEA GRATISSIMA (AVOCADO) OIL  PRUNUS DULCIS (ALMOND) OIL  PRUNUS ARMENIACA (APRICOT) KERNEL OIL  TOCOPHEROL (VITAMIN E)  FLAVORING  GOAT'S MILK.
824,"Earthley Natural Lip Balm, Christmas Cookie (2020 formulation) Rating",Lip Balm,Apricot oil  cocoa butter*  candelilla wax  vanilla oleoresin  and peppermint essential oil.
825,Native Lavender & Rose Deodorant Rating,Antiperspirant/Deodorant,CAPRYLIC/CAPRIC TRIGLYCERIDE  TAPIOCA STARCH  OZOKERITE  SODIUM BICARBONATE  MAGNESIUM HYDROXIDE  COCOS NUCIFERA (COCONUT) OIL  CYCLODEXTRIN  BUTYROSPERMUM PARKII (SHEA) BUTTER  GLUCOSE  LACTOBACILLUS ACIDOPHILUS  LAVANDULA HYBRIDA OIL  PELARGONIUM GRAVEOLENS FLOWER OIL  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL
